"street_label","street_type","total_trees","total_length","n_segments","density"
"2900 E 27TH AV","Public",12,159.718375433628,1,7.51322442857345
"2900 GLEN DRIVE","Public",12,100.562962296589,2,11.9328227072395
"2900 HORLEY ST","Public",12,174.969015729013,6,6.858357149694
"3000 ST. CATHERINES ST","Public",12,98.6411145600507,2,12.165312662495
"3100 E 53RD AV","Public",12,155.450148717974,3,7.71951657747917
"3100 W 16TH AV","Public",12,129.302862348411,1,9.2805370136862
"3200 BRIDGEWAY","Public",12,625.643812479901,1,1.91802424328867
"3300 CAROLINA ST","Public",12,100.60341799,2,11.9280241563888
"3300 SOPHIA ST","Public",12,100.374959306283,2,11.9551729663803
"3300 W 16TH AV","Public",12,145.275055644065,2,8.26019301579269
"3500 W 36TH AV","Public",12,239.279932215602,2,5.01504655609292
"3700 ST. GEORGE ST","Public",12,100.553067074168,2,11.933996992005
"3900 CAROLINA ST","Public",12,100.544643245163,2,11.9349968458686
"400 E 54TH AV","Public",12,250.479768834556,2,4.79080608219744
"400 VERNON DRIVE","Public",12,92.4676888347465,3,12.9775061442768
"4400 ST. GEORGE ST","Public",12,114.076799611014,2,10.5192291867569
"4500 BALACLAVA ST","Public",12,52.766478434888,1,22.7417109421232
"500 W 65TH AV","Public",12,229.74119633609,3,5.22326870033579
"5500-5600 WILLOW ST","Public",12,151.29264187154,1,7.93164813011129
"5700-5800 INVERNESS ST","Public",12,210.856090066063,2,5.69108532565519
"600 W 8TH AV","Public",12,171.955615984729,2,6.97854497585334
"6000 DUNBAR ST","Public",12,174.737591047393,2,6.86744044488131
